state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Virginia,Fairfax,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,46-55,Divorced,Bachelor Degree,More than 1 year,1-2,No,5.0,7.0,6.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,1.5,675.0,450.0
Virginia,Charlottesville,Mixed,26-35,Single,Some College,Asian,36-45,Single,Bachelor Degree,1-3 months,3-4,No,4.0,6.0,6.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Virginia,Reston,Latin / Hispanic,18-25,Single,High School Diploma,White / Caucasian,66-75,Divorced,Bachelor Degree,7-9 months,3-4,Yes,9.0,9.0,9.0,Pay Per Meet (PPM),< $300,,sugar_daddy,3.5,525.0,150.0
Virginia,Virginia Beach,White / Caucasian,26-35,Single,High School Diploma,White / Caucasian,56-65,Widow,Bachelor Degree,More than 1 year,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$600-$699,,sugar_daddy,3.5,2275.0,650.0
Virginia,Aldie,Middle Eastern,36-45,Married,Masters,Middle Eastern,36-45,Married,Masters,Less than a month,1-2,Yes,8.0,10.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,1.5,2500.0,1666.6666666666667
Washington D.C.,DC,,18-25,Single,Some College,,36-45,Divorced,Doctorate,Less than a month,3-4,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),$700-$799,,sugar_daddy,3.5,2625.0,750.0
Washington D.C.,washington,White / Caucasian,18-25,Single,Some College,East Indian,36-45,Single,Masters,4-6 months,3-4,Yes,9.0,9.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,3.5,1925.0,550.0
Washington D.C.,Washington,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Washington D.C.,Bethesda,White / Caucasian,26-35,Single,Some College,White / Caucasian,66-75,Divorced,Bachelor Degree,4-6 months,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Washington D.C.,Dc,,26-35,Single,Bachelor Degree,,36-45,Single,Masters,1-3 months,1-2,No,10.0,10.0,10.0,Pay Per Meet (PPM),$500-$599,,sugar_daddy,1.5,825.0,550.0
Virginia,Woodbridge,Latin / Hispanic,26-35,Single,Associate Degree,Latin / Hispanic,26-35,Married,Bachelor Degree,Less than a month,3-4,No,10.0,10.0,10.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,3.5,1225.0,350.0
Virginia,Tysonâs,White / Caucasian,26-35,Single,Some College,East Indian,36-45,Married,Doctorate,1-3 months,3-4,Yes,7.0,7.0,7.0,Monthly Allowance,,"$2k-$2,999",sugar_daddy,3.5,2500.0,714.2857142857143
Delaware,Dover,Mixed,26-35,Single,Some College,White / Caucasian,46-55,Single,Some College,More than 1 year,3-4,Yes,8.0,7.0,6.0,Pay Per Meet (PPM),< $300,,sugar_daddy,3.5,525.0,150.0
Delaware,Milford,Latin / Hispanic,26-35,Single,Some College,Asian,26-35,Single,Bachelor Degree,10-12 months,3-4,No,8.0,7.0,8.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,3.5,1225.0,350.0
Virginia,Fredericksburg,White / Caucasian,18-25,Single,Some College,White / Caucasian,26-35,Married,Doctorate,Less than a month,1-2,Yes,10.0,9.0,9.0,Pay Per Meet (PPM),$300-$399,,sugar_daddy,1.5,525.0,350.0
Virginia,falls church,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,56-65,Divorced,Bachelor Degree,More than 1 year,3-4,No,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_daddy,3.5,5250.0,1500.0
Virginia,Fairfax,Asian,46-55,Open Relationship,Some College,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,Yes,8.0,9.0,9.0,Pay Per Meet (PPM),$400-$499,,sugar_daddy,3.5,1575.0,450.0
Maryland,Bethesda,Asian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Married,Masters,Less than a month,3-4,Yes,8.0,8.0,6.0,Monthly Allowance,,"$4k-$4,999",sugar_daddy,3.5,4500.0,1285.7142857142858
