state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
New York,New york,Asian,18-25,Single,Bachelor Degree,Asian,26-35,Widow,Bachelor Degree,Less than a month,3-4,No,10.0,5.0,1.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,3.5,1575.0,450.0
New York,New York City,White / Caucasian,18-25,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,1-2,No,8.0,7.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
New York,Albany,White / Caucasian,36-45,Single,Some College,White / Caucasian,36-45,Married,Bachelor Degree,More than 1 year,1-2,No,8.0,6.0,7.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,1.5,525.0,350.0
New York,Upstate,White / Caucasian,26-35,Open Relationship,Doctorate,White / Caucasian,56-65,Married,Doctorate,More than 1 year,3-4,Yes,8.0,6.0,5.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
New York,New York,Mixed,26-35,Single,Some College,White / Caucasian,56-65,Single,High School Diploma,More than 1 year,1-2,Yes,9.0,8.0,10.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,1.5,6500.0,4333.333333333333
New York,Buffalo,Mixed,18-25,Married,Masters,White / Caucasian,26-35,Married,Bachelor Degree,Less than a month,3-4,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
New York,Binghamton,White / Caucasian,26-35,Open Relationship,High School Diploma,White / Caucasian,46-55,Married,High School Diploma,4-6 months,3-4,No,4.0,6.0,6.0,Monthly Allowance,,"$9k-$9,999",sugar_baby,3.5,9500.0,2714.285714285714
New York,manhattan,,26-35,Single,Associate Degree,,46-55,Single,Bachelor Degree,1-3 months,3-4,Yes,7.0,7.0,7.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,3.5,6000.0,1714.2857142857142
New York,New York,Asian,18-25,Single,Bachelor Degree,Middle Eastern,36-45,Single,Bachelor Degree,Less than a month,1-2,Yes,4.0,10.0,4.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,1.5,4500.0,3000.0
New York,New York City,East Indian,18-25,Single,Bachelor Degree,East Indian,46-55,Married,Masters,More than 1 year,1-2,Yes,10.0,9.0,10.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,1.5,1125.0,750.0
New York,New york,Latin / Hispanic,18-25,Single,Associate Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,5-6,No,6.0,7.0,8.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,5.5,4125.0,750.0
New York,Queens,Pacific Islander,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,Less than a month,1-2,No,8.0,8.0,9.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
New York,Brooklyn,White / Caucasian,26-35,Single,Bachelor Degree,Asian,36-45,Married,Masters,1-3 months,3-4,Yes,6.0,6.0,6.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,3.5,2975.0,850.0
New York,Manhattan,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Married,Masters,7-9 months,5-6,Yes,9.0,7.0,7.0,Weekly Allowance,$3k or more,,sugar_baby,5.5,14000.0,2545.4545454545455
New York,New York City,Asian,18-25,Single,Masters,Black/African Descent,26-35,Single,Some College,10-12 months,5-6,Yes,8.0,8.0,9.0,Monthly Allowance,,$10k or more,sugar_baby,5.5,10000.0,1818.1818181818182
New York,Brooklyn,Black/African Descent,26-35,Single,Some College,Latin / Hispanic,26-35,Single,Some College,1-3 months,1-2,Yes,7.0,7.0,10.0,Weekly Allowance,< $300,,sugar_baby,1.5,600.0,400.0
New York,New York,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,3-4,Yes,9.0,8.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
New York,Manhattan,White / Caucasian,18-25,Single,Associate Degree,White / Caucasian,18-25,Single,Masters,4-6 months,5-6,Yes,9.0,9.0,10.0,Monthly Allowance,,"$9k-$9,999",sugar_baby,5.5,9500.0,1727.2727272727273
New York,Ny,Asian,26-35,Single,Masters,East Indian,46-55,Single,Bachelor Degree,1-3 months,3-4,No,9.0,9.0,8.0,Monthly Allowance,,$10k or more,sugar_baby,3.5,10000.0,2857.1428571428573
New York,New York,Asian,26-35,Single,Bachelor Degree,Middle Eastern,26-35,Single,Bachelor Degree,1-3 months,3-4,Yes,8.0,8.0,7.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Pennsylvania,Pittsburgh,White / Caucasian,26-35,Single,Bachelor Degree,Mixed,46-55,Married,Masters,4-6 months,3-4,Yes,9.0,9.0,9.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Pennsylvania,Altoona,Middle Eastern,18-25,Single,Bachelor Degree,Black/African Descent,56-65,Open Relationship,Bachelor Degree,10-12 months,5-6,Yes,3.0,2.0,2.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,5.5,2500.0,454.54545454545456
Pennsylvania,Philadelphia,Asian,18-25,Single,Bachelor Degree,Asian,46-55,Single,Doctorate,7-9 months,3-4,Yes,5.0,7.0,7.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,3.5,2975.0,850.0
Pennsylvania,Harrisburg,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,56-65,Divorced,Masters,10-12 months,1-2,Yes,6.0,6.0,4.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
Pennsylvania,Schwenksville,White / Caucasian,26-35,Single,Some College,White / Caucasian,36-45,Married,Some College,More than 1 year,3-4,Yes,5.0,2.0,6.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Pennsylvania,New Castle,White / Caucasian,46-55,Separated,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,4-6 months,1-2,No,8.0,3.0,2.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Pennsylvania,Pittsburgh,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Married,Masters,4-6 months,3-4,Yes,10.0,10.0,10.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Pennsylvania,Philadelphia,White / Caucasian,26-35,Separated,Some College,White / Caucasian,36-45,Single,Bachelor Degree,4-6 months,3-4,Yes,4.0,3.0,4.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Pennsylvania,Pittsburgh,Mixed,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Doctorate,1-3 months,3-4,Yes,8.0,10.0,10.0,Monthly Allowance,,"$4k-$4,999",sugar_baby,3.5,4500.0,1285.7142857142858
Pennsylvania,Pittsburgh,White / Caucasian,26-35,Open Relationship,Associate Degree,White / Caucasian,26-35,Open Relationship,Some College,1-3 months,1-2,Yes,9.0,9.0,10.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
